model,dataset,cr,no_components,mse
pca,cer,2,18,0
pca,cer,3,11,0
pca,cer,4,7,0.000925
pca,cer,6,3,0.004519
pca,cer,7,2,0.006436
pca,cer,8,1,0.009313
pca,cer,9,1,0.009313
pca,cer,10,0,0.015562
pca,cer,11,0,0.015562
pca,cer,12,0,0.015562
pca,cer,13,0,0.015562
pca,cer,15,0,0.015562
pca,cer,18,0,0.015562
pca,cer,21,0,0.015562
pca,cer,30,0,0.015562
pca,cer,41,0,0.015562
pca,umass,2,36,0
pca,umass,3,22,0
pca,umass,4,14,0
pca,umass,6,7,0.002602
pca,umass,7,5,0.005043
pca,umass,8,3,0.008548
pca,umass,9,2,0.010891
pca,umass,10,1,0.014083
pca,umass,11,0,0.019295
pca,umass,12,0,0.019295
pca,umass,13,0,0.019295
pca,umass,15,0,0.019295
pca,umass,18,0,0.019295
pca,umass,21,0,0.019295
pca,umass,30,0,0.019295
pca,umass,41,0,0.019295
pca,dred,2,28,0
pca,dred,3,18,0
pca,dred,4,13,0
pca,dred,6,8,0.000001
pca,dred,7,7,0.000002
pca,dred,8,6,0.000005
pca,dred,9,5,0.000014
pca,dred,10,4,0.000045
pca,dred,11,4,0.000045
pca,dred,12,3,0.000166
pca,dred,13,3,0.000166
pca,dred,15,2,0.000682
pca,dred,18,2,0.000682
pca,dred,21,1,0.003953
pca,dred,30,0,0.091783
pca,dred,41,0,0.091783
fft,cer,2,288,0.014828
fft,cer,3,192,0.01609
fft,cer,4,144,0.01689
fft,cer,6,96,0.017923
fft,cer,7,82,0.018301
fft,cer,8,72,0.018606
fft,cer,9,64,0.018883
fft,cer,10,57,0.019167
fft,cer,11,52,0.01935
fft,cer,12,48,0.019535
fft,cer,13,44,0.019727
fft,cer,15,38,0.020029
fft,cer,18,32,0.020406
fft,cer,21,27,0.020792
fft,cer,30,19,0.021525
fft,cer,41,14,0.022015
fft,umass,2,576,0.009925
fft,umass,3,384,0.011724
fft,umass,4,288,0.012855
fft,umass,6,192,0.014297
fft,umass,7,164,0.01479
fft,umass,8,144,0.015141
fft,umass,9,128,0.015534
fft,umass,10,114,0.015828
fft,umass,11,104,0.016096
fft,umass,12,96,0.016295
fft,umass,13,88,0.016492
fft,umass,15,76,0.016838
fft,umass,18,64,0.017205
fft,umass,21,54,0.017535
fft,umass,30,38,0.018152
fft,umass,41,28,0.018625
fft,dred,2,1800,0.043205
fft,dred,3,1200,0.043213
fft,dred,4,900,0.043218
fft,dred,6,600,0.043227
fft,dred,7,514,0.04323
fft,dred,8,450,0.043236
fft,dred,9,400,0.04324
fft,dred,10,360,0.043244
fft,dred,11,327,0.043265
fft,dred,12,300,0.04327
fft,dred,13,276,0.043277
fft,dred,15,240,0.043296
fft,dred,18,200,0.04334
fft,dred,21,171,0.043437
fft,dred,30,120,0.043621
fft,dred,41,87,0.043865
ksvd,cer,2,5,0.005642
ksvd,cer,3,3,0.008403
ksvd,cer,4,2,0.010505
ksvd,cer,6,1,0.013974
ksvd,cer,7,1,0.013974
ksvd,cer,8,1,0.013974
ksvd,cer,9,1,0.013974
ksvd,cer,10,1,0.013974
ksvd,cer,11,1,0.013974
ksvd,cer,12,1,0.013974
ksvd,cer,13,1,0.013974
ksvd,cer,15,1,0.013974
ksvd,cer,18,1,0.013974
ksvd,cer,21,1,0.013974
ksvd,cer,30,1,0.013974
ksvd,cer,41,1,0.013974
ksvd,umass,2,5,0.008404
ksvd,umass,3,3,0.011983
ksvd,umass,4,2,0.014334
ksvd,umass,6,1,0.017552
ksvd,umass,7,1,0.017552
ksvd,umass,8,1,0.017552
ksvd,umass,9,1,0.017552
ksvd,umass,10,1,0.017552
ksvd,umass,11,1,0.017552
ksvd,umass,12,1,0.017552
ksvd,umass,13,1,0.017552
ksvd,umass,15,1,0.017552
ksvd,umass,18,1,0.017552
ksvd,umass,21,1,0.017552
ksvd,umass,30,1,0.017552
ksvd,umass,41,1,0.017552
ksvd,dred,2,29,0.000055
ksvd,dred,3,19,0.000133
ksvd,dred,4,14,0.000121
ksvd,dred,6,9,0.000186
ksvd,dred,7,7,0.000281
ksvd,dred,8,6,0.000298
ksvd,dred,9,5,0.000398
ksvd,dred,10,5,0.000398
ksvd,dred,11,4,0.000578
ksvd,dred,12,4,0.000578
ksvd,dred,13,3,0.001015
ksvd,dred,15,3,0.001015
ksvd,dred,18,2,0.002004
ksvd,dred,21,1,0.004129
ksvd,dred,30,1,0.004129
ksvd,dred,41,1,0.004129
dwt(1d),cer,2,288,0.00018
dwt(1d),cer,3,192,0.000731
dwt(1d),cer,4,144,0.00146
dwt(1d),cer,6,96,0.003068
dwt(1d),cer,7,82,0.003887
dwt(1d),cer,8,72,0.004645
dwt(1d),cer,9,64,0.00541
dwt(1d),cer,10,57,0.006218
dwt(1d),cer,11,52,0.006912
dwt(1d),cer,12,48,0.007557
dwt(1d),cer,13,44,0.008295
dwt(1d),cer,15,38,0.009626
dwt(1d),cer,18,32,0.011301
dwt(1d),cer,21,27,0.013097
dwt(1d),cer,30,19,0.017136
dwt(1d),cer,41,14,0.021124
dwt(1d),umass,2,576,0.000608
dwt(1d),umass,3,384,0.001958
dwt(1d),umass,4,288,0.003397
dwt(1d),umass,6,192,0.006015
dwt(1d),umass,7,164,0.007203
dwt(1d),umass,8,144,0.008275
dwt(1d),umass,9,128,0.009384
dwt(1d),umass,10,114,0.01045
dwt(1d),umass,11,104,0.011526
dwt(1d),umass,12,96,0.012406
dwt(1d),umass,13,88,0.013418
dwt(1d),umass,15,76,0.015131
dwt(1d),umass,18,64,0.017281
dwt(1d),umass,21,54,0.019375
dwt(1d),umass,30,38,0.023442
dwt(1d),umass,41,28,0.026796
dwt(1d),dred,2,1800,0
dwt(1d),dred,3,1200,0
dwt(1d),dred,4,900,0.00000001
dwt(1d),dred,6,600,0.00000016
dwt(1d),dred,7,514,0.00000045
dwt(1d),dred,8,450,0.00000199
dwt(1d),dred,9,400,0.00000722
dwt(1d),dred,10,360,0.00001323
dwt(1d),dred,11,327,0.00001657
dwt(1d),dred,12,300,0.00005944
dwt(1d),dred,13,276,0.00024473
dwt(1d),dred,15,240,0.001391
dwt(1d),dred,18,200,0.00446969
dwt(1d),dred,21,171,0.00872499
dwt(1d),dred,30,120,0.02754007
dwt(1d),dred,41,87,0.05072147
dwt(2d),cer,2,288,0.000682
dwt(2d),cer,3,192,0.001725
dwt(2d),cer,4,144,0.002818
dwt(2d),cer,6,96,0.004825
dwt(2d),cer,7,82,0.005731
dwt(2d),cer,8,72,0.00651
dwt(2d),cer,9,64,0.007274
dwt(2d),cer,10,57,0.00804
dwt(2d),cer,11,52,0.008644
dwt(2d),cer,12,48,0.009189
dwt(2d),cer,13,44,0.009789
dwt(2d),cer,15,38,0.010852
dwt(2d),cer,18,32,0.012077
dwt(2d),cer,21,27,0.013286
dwt(2d),cer,30,19,0.015881
dwt(2d),cer,41,14,0.018231
dwt(2d),umass,2,576,0.001704
dwt(2d),umass,3,384,0.003561
dwt(2d),umass,4,288,0.005226
dwt(2d),umass,6,192,0.007768
dwt(2d),umass,7,164,0.008847
dwt(2d),umass,8,144,0.00968
dwt(2d),umass,9,128,0.010484
dwt(2d),umass,10,114,0.011234
dwt(2d),umass,11,104,0.011928
dwt(2d),umass,12,96,0.012464
dwt(2d),umass,13,88,0.013048
dwt(2d),umass,15,76,0.014041
dwt(2d),umass,18,64,0.015289
dwt(2d),umass,21,54,0.016509
dwt(2d),umass,30,38,0.019631
dwt(2d),umass,41,28,0.023239
dwt(2d),dred,2,1800,0.001704
dwt(2d),dred,3,1200,0.003561
dwt(2d),dred,4,900,0.005226
dwt(2d),dred,6,600,0.007768
dwt(2d),dred,7,514,0.008847
dwt(2d),dred,8,450,0.00968
dwt(2d),dred,9,400,0.010484
dwt(2d),dred,10,360,0.011234
dwt(2d),dred,11,327,0.011928
dwt(2d),dred,12,300,0.012464
dwt(2d),dred,13,276,0.013048
dwt(2d),dred,15,240,0.014041
dwt(2d),dred,18,200,0.015289
dwt(2d),dred,21,171,0.016509
dwt(2d),dred,30,120,0.019631
dwt(2d),dred,41,87,0.023239
